group,matrix_count,source_or_meaning,normalized_kind_counts,dimension_min,dimension_max,size_profile,shape_counts,structure_counts,entry_type_counts,known_positive_definite,assessment,categorical_diversity_score,source_url
Lucifora,2,"GSM cell traffic matrices from Salvatore Lucifora, Telecom Italia Mobile.",directed weighted graph (2),7055,7055,one dimension,square (2),unsymmetric (2),real (2),0,small; uniform observed types; one dimension,0.0,https://sparse.tamu.edu/Lucifora
Luong,2,"Photogrammetry problem from Bruno Luong, FOGALE nanotech, France.",computer graphics/vision problem (2),1388,4472,narrow (≤4×),rectangular (2),rectangular (2),real (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Luong
MAWI,5,MAWI Working Group Traffic Archive (http://mawi.wide.ad.jp/mawi/): The MAWI (Measurement and Analysis on the WIDE Internet)…,undirected weighted graph (5),18571154,226196185,moderate (4–100×),square (5),symmetric (5),integer (5),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/MAWI
MKS,1,"2-D Fokker Planck equations, electron dynamics. Dan Smith, MKS Inst.",electromagnetics problem (1),7548,7548,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/MKS
ML_Graph,36,"ML_Graph: adjacency matrices from machine learning datasets, Olaf Schenk.",undirected weighted graph (36),106,38547,wide (>100×),square (36),symmetric (36),real (36),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/ML_Graph
Mallya,18,"Chemical process simulation matrices, J. Mallya, S. Zitney, M. Stadtherr.",chemical process simulation problem (18),1477,70304,moderate (4–100×),square (18),unsymmetric (18),real (18),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Mallya
Mancktelow,1,"FEM viscoelastic behavior of rocks, Neil Mancktelow, ETH-Zentrum",materials problem (1),37762,37762,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Mancktelow
Marini,1,"Economic Time Series, T. Di Fonzo (Univ Padua) and M. Marini, (ISTAT, Italy)",economic problem (1),7245,7245,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Marini
Martin,1,Martin/marine1: chemical oceanography; a marine nitrogen cycle inverse model,chemical oceanography problem (1),400320,400320,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Martin
MathWorks,11,"Matrices contributed by The Mathworks, Inc.",counter-example problem (6); structural problem (2); computer graphics/vision problem (1); directed graph (1); statistical/mathematical problem (1),102,12406,wide (>100×),square (9); rectangular (2),unsymmetric (7); rectangular (2); symmetric (2),real (10); binary (1),2,high categorical mix; wide (>100×),0.318182,https://sparse.tamu.edu/MathWorks
MaxPlanck,2,"Weather shallow water equations, Max-Planck Institute of Meteoroloy",computational fluid dynamics problem (2),81920,81920,one dimension,square (2),symmetric (2),real (2),2,small; uniform observed types; one dimension,0.0,https://sparse.tamu.edu/MaxPlanck
Mazaheri,1,"Sparse bundle adjustment problem from Mehdi Mazaheri, University of Calgary",computer vision problem (1),513351,513351,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Mazaheri
McRae,2,"circuitscape: circuit theory applied to animal/gene flow. B. McRae, UCSB",2D/3D problem (2),999999,1000000,narrow (≤4×),square (2),symmetric (2),real (2),1,small; observed mix; narrow (≤4×),0.083333,https://sparse.tamu.edu/McRae
Meng,1,"Jacobian matrix from a computational chemistry problem, iChem, China'",computational chemistry problem (1),274087,274087,one dimension,square (1),unsymmetric (1),complex (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Meng
Meszaros,166,Linear programming problems from C. Me'sza'ros,linear programming problem (166),16,1113780,wide (>100×),rectangular (165); square (1),rectangular (165); unsymmetric (1),real (107); integer (41); binary (18),0,some categorical mix; wide (>100×),0.087349,https://sparse.tamu.edu/Meszaros
Mittelmann,30,Linear programming problems from H. Mittelmann,linear programming problem (30),24460,1961394,moderate (4–100×),rectangular (30),rectangular (30),integer (20); real (10),0,some categorical mix; moderate (4–100×),0.055556,https://sparse.tamu.edu/Mittelmann
Moqri,1,"Document similarity graph for MIS articles, including metadata",undirected weighted graph (1),2427,2427,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Moqri
Morandini,3,Multibody simulation problems from Marco Morandini.,structural problem (2); robotics problem (1),100,791,moderate (4–100×),square (3),unsymmetric (3),real (3),0,small; observed mix; moderate (4–100×),0.055556,https://sparse.tamu.edu/Morandini
Muite,4,"Ill-conditioned Chebyshev integration matrices from Benson Muite, Oxford.",structural problem (4),261,68121,wide (>100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; wide (>100×),0.0,https://sparse.tamu.edu/Muite
Mulvey,2,"Multistage stochastic financial modelling. J. Mulvey, Princeton.",economic problem (2),74752,74752,one dimension,square (2),symmetric (2),binary (1); real (1),1,small; observed mix; one dimension,0.25,https://sparse.tamu.edu/Mulvey
Mycielski,19,Mycielski graph adjacency matrices,undirected graph (19),2,786431,wide (>100×),square (19),symmetric (19),binary (19),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/Mycielski
ND,4,ND problem set. 3D mesh problems.,2D/3D problem (4),9000,72000,moderate (4–100×),square (4),symmetric (4),real (4),4,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/ND
NYPA,8,"Rank-deficient least squares problems. D. Maragal, New York Power Authority",least squares problem (8),32,75077,wide (>100×),rectangular (8),rectangular (8),real (8),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/NYPA
Nasa,11,"NASA matrices obtained from Alex Pothen, ICASE and Old Dominion Univ.",structural problem (11),1824,54870,moderate (4–100×),square (11),symmetric (8); unsymmetric (3),binary (6); real (5),5,high categorical mix; moderate (4–100×),0.318182,https://sparse.tamu.edu/Nasa
Negre,1,"Negre: phenyl dendrimer density matrix, for graph partitioning",computational chemistry problem (1),730,730,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Negre
Nemeth,26,"A set of matrices from Karoly Nemeth, theoretical chemistry.",theoretical/quantum chemistry problem (26),9506,9506,one dimension,square (26),symmetric (26),real (26),0,categorically uniform; one dimension,0.00641,https://sparse.tamu.edu/Nemeth
Newman,16,"Network graph collection from Mark Newman, University of Michigan",undirected weighted graph (7); undirected graph (6); directed multigraph (1); directed weighted graph (1); undirected multigraph (1),34,40421,wide (>100×),square (16),symmetric (14); unsymmetric (2),binary (6); real (6); integer (4),0,high categorical mix; wide (>100×),0.239583,https://sparse.tamu.edu/Newman
Norris,12,"Finite element modelling of human body parts. Stuart Norris, Univ. Aukland.",2D/3D problem (10); computational fluid dynamics problem (2),1650,259156,wide (>100×),square (12),unsymmetric (9); symmetric (3),real (12),3,high categorical mix; wide (>100×),0.194444,https://sparse.tamu.edu/Norris
Oberwolfach,38,Oberwolfach model reduction benchmark collection,model reduction problem (38),14,986703,wide (>100×),square (38),symmetric (33); unsymmetric (5),real (37); complex (1),13,high categorical mix; wide (>100×),0.153509,https://sparse.tamu.edu/Oberwolfach
Okunbor,2,Acoustic radiation around aft duct fan. Walter Eversman and Daniel Okunbor.,acoustics problem (2),8184,8205,narrow (≤4×),square (2),symmetric (1); unsymmetric (1),complex (1); real (1),1,small; observed mix; narrow (≤4×),0.333333,https://sparse.tamu.edu/Okunbor
PARSEC,21,"PARSEC matrices, density functional theory. Zhou, Saad, Tiago, Chelikowsky, UMN.",theoretical/quantum chemistry problem (21),769,268096,wide (>100×),square (21),symmetric (21),real (21),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/PARSEC
POLYFLOW,2,"Parasol matrices, collected by Jacko Koster",computational fluid dynamics problem (2),29957,30412,narrow (≤4×),square (2),unsymmetric (2),real (2),0,small; observed mix; narrow (≤4×),0.083333,https://sparse.tamu.edu/POLYFLOW
Pajek,76,"Pajek data sets, V. Batagelj and A. Mrvar.",directed graph (28); undirected graph (13); directed multigraph (11); directed weighted graph (11); undirected weighted graph (7); bipartite graph (3); weighted bipartite graph (2); undirected multigraph (1),10,3774768,wide (>100×),square (71); rectangular (5),unsymmetric (49); symmetric (22); rectangular (5),binary (44); integer (28); real (4),1,high categorical mix; wide (>100×),0.333333,https://sparse.tamu.edu/Pajek
Pereyra,1,"From Victor Pereyra, Stanford University.",least squares problem (1),71952,71952,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Pereyra
Pothen,22,"Structrual engineering matrices from NASA, collected by Alex Pothen.",structural problem (22),48,94069,wide (>100×),square (22),symmetric (22),binary (12); real (10),10,some categorical mix; wide (>100×),0.151515,https://sparse.tamu.edu/Pothen
PowerSystem,1,Power system matrix,power network problem (1),197156,197156,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/PowerSystem
Precima,1,Precima: data analytics problem,data analytics problem (1),303813,303813,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Precima
Priebel,6,"Quadratic sieve matrices from David Priebel, Tenn. Tech. Univ.",combinatorial problem (6),584,24430,moderate (4–100×),rectangular (6),rectangular (6),binary (6),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Priebel
Puri,4,ABAQUS benchmarks: pt.loaded fluid-filled shell. Srinivasan Puri,model reduction problem (4),23412,23412,one dimension,square (4),unsymmetric (4),complex (3); real (1),0,small; observed mix; one dimension,0.041667,https://sparse.tamu.edu/Puri
QCD,14,"Quantum Chromodynamics, B. Medeke, Univ. Wuppertal, Germany",theoretical/quantum chemistry problem (14),3072,49152,moderate (4–100×),square (14),unsymmetric (14),complex (14),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/QCD
QLi,3,Mixed complementarity optimization problems from Qaun Li and Michael Ferris.,optimization problem (3),160000,440020,narrow (≤4×),square (3),unsymmetric (3),real (3),0,small; observed mix; narrow (≤4×),0.055556,https://sparse.tamu.edu/QLi
QY,2,"Transient stabilty constrained interior pt. optimal power flow, J. Quanyuan",power network problem (2),14454,40216,narrow (≤4×),square (2),symmetric (2),real (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/QY
Qaplib,8,"Linear programming, lower bounds for quadratic assignment problem, M. Resende.",linear programming problem (8),225,379350,wide (>100×),rectangular (8),rectangular (8),integer (8),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/Qaplib
Quaglino,2,"FEM discretization of a viscoplastic collision problem, Alessio Quaglino.",materials problem (2),4326,32769,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Quaglino
Rajat,32,Circuit simulation matrices from Rajat and Raj.,circuit simulation problem (32),135,4690002,wide (>100×),square (32),unsymmetric (26); symmetric (6),real (25); binary (7),0,high categorical mix; wide (>100×),0.135417,https://sparse.tamu.edu/Rajat
Raju,1,"3D laminar flow, M. Raju, Case Western Univ.",computational fluid dynamics problem (1),67173,67173,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Raju
Rommes,35,"Power system models from Joost Rommes, Nelson Martins, Francisco Freitas",eigenvalue/model reduction problem (35),66,40366,wide (>100×),square (35),unsymmetric (35),real (35),0,some categorical mix; wide (>100×),0.07619,https://sparse.tamu.edu/Rommes
Ronis,2,"Crystalline compounds (zeolites,sodalites), D. Ronis, Univ. of McGill.",materials problem (2),48600,157464,narrow (≤4×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Ronis
Rost,1,"semiconductor device simulation, Johann Rost, Politechnia Univ., Bucharest.",semiconductor device problem (1),74104,74104,one dimension,square (1),unsymmetric (1),complex (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Rost
Rothberg,6,"Structural engineering matrices from Ed Rothberg, Silicon Graphics, Inc.",computational fluid dynamics problem (3); structural problem (3),4350,153746,moderate (4–100×),square (6),symmetric (6),binary (4); real (2),2,high categorical mix; moderate (4–100×),0.194444,https://sparse.tamu.edu/Rothberg
Rucci,1,"ill-conditioned least-squares problem, A. Rucci",least squares problem (1),1977885,1977885,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Rucci
Rudnyi,1,"3D fluid flow: water in a tank. Evgenii Rudnyi, IMTEK",computational fluid dynamics problem (1),60740,60740,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Rudnyi
SNAP,68,"Networks from SNAP (Stanford Network Analysis Platform) Network Data Sets, Jure Leskovec…",directed graph (30); undirected graph (14); directed temporal multigraph (8); undirected graph with communities (6); directed weighted graph (5); directed graph with communities (2); directed weighted temporal graph (2); directed weighted temporal multigraph (1),1005,65608366,wide (>100×),square (68),unsymmetric (47); symmetric (21),binary (53); integer (15),0,high categorical mix; wide (>100×),0.259804,https://sparse.tamu.edu/SNAP
Sandia,192,Circuit simulation matrices from Sandia National Laboratory.,circuit simulation problem (192),430,682862,wide (>100×),square (192),unsymmetric (192),real (192),0,categorically uniform; wide (>100×),0.019965,https://sparse.tamu.edu/Sandia
Sanghavi,1,"ECL32, a semiconductor device simulation matrix. Jagesh Sanghavi, UC Berkeley.",semiconductor device problem (1),51993,51993,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Sanghavi
Schenk,5,"Symmetric indefinite KKT matrices, O. Schenk, Univ. of Basel, Switzerland",optimization problem (5),1062400,27993600,moderate (4–100×),square (5),symmetric (5),real (5),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Schenk
Schenk_AFE,16,"Sheet metal forming matrices, Olaf Schenk, Univ. of Basel.",structural problem (16),503625,1508065,narrow (≤4×),square (16),symmetric (16),real (16),10,some categorical mix; narrow (≤4×),0.145833,https://sparse.tamu.edu/Schenk_AFE
Schenk_IBMNA,52,"Non-linear optimization matrices, Olaf Schenk, Univ. of Basel.",optimization problem (52),2169,345241,wide (>100×),square (52),symmetric (52),real (52),0,some categorical mix; wide (>100×),0.028846,https://sparse.tamu.edu/Schenk_IBMNA
Schenk_IBMSDS,7,"Semiconductor device simulation matrices, Olaf Schenk, Univ. of Basel.",semiconductor device problem (7),27628,125329,moderate (4–100×),square (7),unsymmetric (7),real (7),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Schenk_IBMSDS
Schenk_ISEI,18,"Semiconductor device simulation matrices, Olaf Schenk, Univ. of Basel.",semiconductor device problem (18),10938,181343,moderate (4–100×),square (18),unsymmetric (18),real (18),0,some categorical mix; moderate (4–100×),0.064815,https://sparse.tamu.edu/Schenk_ISEI
Schmid,2,"Unstructured FEM, steady state thermal problem. D. Schmid, Univ. Oslo",thermal problem (2),82654,1228045,moderate (4–100×),square (2),symmetric (2),real (2),2,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Schmid
Schulthess,3,"Biochemical networks from Pascal Schulthess, Inst. Pathology, Berlin",biochemical network (3),1996,16559,moderate (4–100×),rectangular (3),rectangular (3),integer (3),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Schulthess
Shen,4,"Matrices from Kai Shen, UCSB (now at Univ. of Rochester, NY).",2D/3D problem (4),3432,18510,moderate (4–100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Shen
Shyy,2,"Computational fluid dynamics, viscous flow, Wei Shyy, Univ. Florida.",computational fluid dynamics problem (2),4720,76480,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Shyy
Simon,12,"Structural engineering, computational fluid dynamics. Horst Simon.",computational fluid dynamics problem (7); structural problem (4); directed weighted random graph (1),3242,62424,moderate (4–100×),square (12),unsymmetric (10); symmetric (2),real (12),2,high categorical mix; moderate (4–100×),0.236111,https://sparse.tamu.edu/Simon
Sinclair,2,"3-D spectral-element elastic wave modelling in freq. domain, C. Sinclair, Univ. Adelaide, Australia.",materials problem (2),292008,680943,narrow (≤4×),square (2),Hermitian (2),complex (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Sinclair
Sorensen,1,Call graph of the Linux kernel.,directed weighted graph (1),324085,324085,one dimension,square (1),unsymmetric (1),integer (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Sorensen
Springer,1,"Tim Springer, Solenix (www.solenix.ch), Navigation Support Office, OPS-GN (www.nng.esoc.de), European Space Operations…",least squares problem (1),327062,327062,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Springer
Stevenson,1,"Circuit optimization for digital circuits. John Peter Stevenson, Stanford.",circuit simulation problem (1),2111154,2111154,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Stevenson
Sumner,1,"A computer graphics problem from Bob Sumner, PhD student at MIT (as of 2003).",computer graphics/vision problem (1),29493,29493,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Sumner
Sybrandt,2,Sybrandt: machine learning graphs from document analysis,undirected graph (1); undirected weighted graph (1),30239687,183964077,moderate (4–100×),square (2),symmetric (2),binary (1); real (1),0,small; observed mix; moderate (4–100×),0.166667,https://sparse.tamu.edu/Sybrandt
Szczerba,1,"Ill-conditioned CFD matrix from D. Szczerba, ETH Computer Vision Lab, Zurich.",computational fluid dynamics problem (1),20896,20896,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Szczerba
TAMU_SmartGridCenter,3,Texas A&M Smart Grid Center: synthetic (yet realistic) power system grids,power network problem (3),4000,69999,moderate (4–100×),square (3),unsymmetric (2); symmetric (1),real (3),0,small; observed mix; moderate (4–100×),0.111111,https://sparse.tamu.edu/TAMU_SmartGridCenter
TKK,12,"Matrices from Reijo Kouhia, Structural Mechanics, Helsinki Univ. of Technology",structural problem (12),1282,143571,wide (>100×),square (12),symmetric (10); unsymmetric (2),real (5); integer (4); binary (3),3,high categorical mix; wide (>100×),0.222222,https://sparse.tamu.edu/TKK
TOKAMAK,4,"TOKAMAK test matrices from the SPARSKIT2 collection, Yousef Saad, Univ. MN.",electromagnetics problem (4),300,5940,moderate (4–100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/TOKAMAK
TSOPF,27,"Transient stability-constrained optimal power flow, G. Geng, Zhejiang Univ.",power network problem (27),2454,120216,moderate (4–100×),square (27),unsymmetric (15); symmetric (12),real (27),0,some categorical mix; moderate (4–100×),0.148148,https://sparse.tamu.edu/TSOPF
Toledo,1,"Null space problem, computer graphics domain. Matrices from Sivan Toledo.",counter-example problem (1),68600,68600,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Toledo
Tromble,1,Finite-state machine model for natural language processing. Roy Tromble.,directed weighted graph (1),399130,399130,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Tromble
UTEP,3,"Matrices from Lenka Dubcova, Jakub Cerveny, and Pavel Solin",2D/3D problem (3),16129,146689,moderate (4–100×),square (3),symmetric (3),real (3),3,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/UTEP
Um,2,"FEM, electromagnetics, 2 cubes in a sphere. Evan Um, Geophysics, Stanford",electromagnetics problem (2),101492,259789,narrow (≤4×),square (2),symmetric (2),real (2),2,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Um
VDOL,91,"Optimal control problems, Vehicle Dynamics & Optimization Lab, UF",optimal control problem (91),99,18476,wide (>100×),square (91),symmetric (91),real (91),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/VDOL
VLSI,14,VLSI: semiconductor device and process simulation,semiconductor device problem (8); semiconductor process problem (6),46994,11449533,wide (>100×),square (14),unsymmetric (14),real (14),0,some categorical mix; wide (>100×),0.142857,https://sparse.tamu.edu/VLSI
VanVelzen,10,"Chemical process simulation matrices from Nils van Velzen, VORtech Computing.",chemical process simulation problem (10),21982,22835,narrow (≤4×),square (10),unsymmetric (10),real (10),0,categorically uniform; narrow (≤4×),0.0,https://sparse.tamu.edu/VanVelzen
Vavasis,1,"Irregular finite-element matrix from Steve Vavasis, Cornell.",2D/3D problem (1),41092,41092,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Vavasis
Wang,6,"3D semiconductor device, 2D incompressible flow. S. Wang, Univ. New South Wales.",semiconductor device problem (6),2903,26068,moderate (4–100×),square (6),unsymmetric (6),real (6),0,some categorical mix; moderate (4–100×),0.111111,https://sparse.tamu.edu/Wang
Watson,2,Chemical reaction simulation matrices from Layne Watson and Jingwei Zhang.,2D/3D problem (2),40401,112211,narrow (≤4×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Watson
Williams,7,Matrices used by S. Williams et al for sparse matrix multiplication on GPUs.,2D/3D problem (4); economic problem (1); weighted directed graph (1); weighted undirected graph (1),36417,1000005,moderate (4–100×),square (7),symmetric (4); unsymmetric (3),real (6); integer (1),3,high categorical mix; moderate (4–100×),0.309524,https://sparse.tamu.edu/Williams
Wissgott,1,"Parabolic FEM problem from Phillip Wissgott, TU Vienna.",computational fluid dynamics problem (1),525825,525825,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Wissgott
YCheng,3,"Power system state simulation matrices Yunzhi Cheng, UT Arlington.",power network problem (3),14318,28634,narrow (≤4×),rectangular (3),rectangular (3),real (3),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/YCheng
YZhou,1,"Circuit simulation problem, Y. Zhou, Carleton Univ, Canada",circuit simulation problem (1),1020,1020,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/YZhou
Yoshiyasu,2,"Image editting and mesh deformation problem from Y. Yoshiyasu, Keio Univ., Japan",computer graphics/vision problem (2),234023,240000,narrow (≤4×),rectangular (2),rectangular (2),real (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Yoshiyasu
Zaoui,1,"Optimal power flow, nonlinear optimization (KKT), Fabrice Zaoui, RTE, France",optimization problem (1),2063494,2063494,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Zaoui
Zhao,2,"Reduced-order modeling, electromagnetics. A. Cangellaris and L. Zhao.",electromagnetics problem (2),33861,33861,one dimension,square (2),unsymmetric (2),real (2),0,small; uniform observed types; one dimension,0.0,https://sparse.tamu.edu/Zhao
Zitney,8,"Chemical engineering applications. S. Zitney, Cray Research.",chemical process simulation problem (8),1048,5308,moderate (4–100×),square (8),unsymmetric (8),real (8),0,some categorical mix; moderate (4–100×),0.041667,https://sparse.tamu.edu/Zitney
vanHeukelum,13,"DNA electrophoresis model. Alexander van Heukelum, Utrect Univ, The Netherlands.",directed weighted graph (13),5,5154859,wide (>100×),square (13),unsymmetric (13),real (13),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/vanHeukelum
