group,matrix_count,diversity_label,categorical_diversity_score,mixed_attribute_count_dominant_share_lt_0_90,distinct_kinds,dimension_log10_span,nnz_log10_span,nentries_log10_span,matrices_with_explicit_zeros,explicit_zero_count_total,nrows_min,nrows_median,nrows_max,ncols_min,ncols_median,ncols_max,nnz_min,nnz_median,nnz_max,nentries_min,nentries_median,nentries_max,pattern_symmetry_min,pattern_symmetry_median,pattern_symmetry_max,numerical_symmetry_min,numerical_symmetry_median,numerical_symmetry_max,shape_counts,dominant_shape,dominant_shape_share,structure_counts,dominant_structure,dominant_structure_share,entry_type_counts,dominant_entry_type,dominant_entry_type_share,exact_symmetry_counts,dominant_exact_symmetry,dominant_exact_symmetry_share,positive_definite_counts,dominant_positive_definite,dominant_positive_definite_share,kind_counts,dominant_kind,dominant_kind_share,structural_full_rank_counts,dominant_structural_full_rank,dominant_structural_full_rank_share,is_2d3d_counts,dominant_is_2d3d,dominant_is_2d3d_share,cholesky_candidate_counts,dominant_cholesky_candidate,dominant_cholesky_candidate_share,size_band_counts,dominant_size_band,dominant_size_band_share,smallest_nrows_matrices,largest_nrows_matrices,smallest_ncols_matrices,largest_ncols_matrices,smallest_nnz_matrices,largest_nnz_matrices,smallest_nentries_matrices,largest_nentries_matrices
Cannizzo,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,4098,4098,4098,4098,4098,4098,72356,72356,72356,72356,72356,72356,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,real:1,real,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,structural problem:1,structural problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,1k_to_10k:1,1k_to_10k,1.0,Cannizzo/sts4098=4098,Cannizzo/sts4098=4098,Cannizzo/sts4098=4098,Cannizzo/sts4098=4098,Cannizzo/sts4098=72356,Cannizzo/sts4098=72356,Cannizzo/sts4098=72356,Cannizzo/sts4098=72356
Castrillon,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,89400,89400,89400,89400,89400,89400,1156224,1156224,1156224,1156224,1156224,1156224,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,real:1,real,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,counter-example problem:1,counter-example problem,1.0,true:1,true,1.0,no:1,no,1.0,yes:1,yes,1.0,10k_to_100k:1,10k_to_100k,1.0,Castrillon/denormal=89400,Castrillon/denormal=89400,Castrillon/denormal=89400,Castrillon/denormal=89400,Castrillon/denormal=1156224,Castrillon/denormal=1156224,Castrillon/denormal=1156224,Castrillon/denormal=1156224
Chen,14,homogeneous,0.0,0,1,1.148208,1.262847,1.262847,0,0,10800,49377,151926,10800,49377,151926,810000,3178543.5,14836504,810000,3178543.5,14836504,1.0,1,1.0,1.0,1,1.0,square:14,square,1.0,symmetric:14,symmetric,1.0,binary:14,binary,1.0,exact_numerical_or_hermitian:14,exact_numerical_or_hermitian,1.0,no:14,no,1.0,structural problem:14,structural problem,1.0,true:14,true,1.0,yes:14,yes,1.0,yes:14,yes,1.0,100k_to_1m:1; 10k_to_100k:13,10k_to_100k,0.928571,Chen/pkustk02=10800,Chen/pkustk14=151926,Chen/pkustk02=10800,Chen/pkustk14=151926,Chen/pkustk02=810000,Chen/pkustk14=14836504,Chen/pkustk02=810000,Chen/pkustk14=14836504
Chevron,4,small_group_lt5,0.0,0,1,1.279679,1.28523,1.28523,0,0,37365,235815,711450,37365,235815,711450,330633,2108143,6376412,330633,2108143,6376412,0.994503321194266,0.997275228752503,0.9986570077610406,0.5561276492234193,0.606425339005505,0.7103673090824775,square:4,square,1.0,unsymmetric:4,unsymmetric,1.0,complex:4,complex,1.0,partially_pattern_symmetric:4,partially_pattern_symmetric,1.0,no:4,no,1.0,other problem:4,other problem,1.0,true:4,true,1.0,no:4,no,1.0,no:4,no,1.0,100k_to_1m:2; 10k_to_100k:2,100k_to_1m,0.5,Chevron/Chevron1=37365,Chevron/Chevron4=711450,Chevron/Chevron1=37365,Chevron/Chevron4=711450,Chevron/Chevron1=330633,Chevron/Chevron4=6376412,Chevron/Chevron1=330633,Chevron/Chevron4=6376412
Clark,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,73159,73159,73159,59498,59498,59498,647495,647495,647495,647495,647495,647495,0.0,0,0.0,0.0,0,0.0,rectangular:1,rectangular,1.0,rectangular:1,rectangular,1.0,real:1,real,1.0,rectangular:1,rectangular,1.0,no:1,no,1.0,computer graphics/vision problem:1,computer graphics/vision problem,1.0,false:1,false,1.0,yes:1,yes,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Clark/tomographic1=73159,Clark/tomographic1=73159,Clark/tomographic1=59498,Clark/tomographic1=59498,Clark/tomographic1=647495,Clark/tomographic1=647495,Clark/tomographic1=647495,Clark/tomographic1=647495
Cote,2,small_group_lt5,0.166667,2,1,0.315501,0.326706,0.382207,1,41128,5962,9145,12328,5962,9145,12328,142190,221945,301700,142190,242509,342828,1.0,1,1.0,0.05311683354376486,0.5265584167718824,1.0,square:2,square,1.0,symmetric:2,symmetric,1.0,complex:1; real:1,complex,0.5,exact_numerical_or_hermitian:1; pattern_symmetric_only:1,exact_numerical_or_hermitian,0.5,no:2,no,1.0,acoustics problem:2,acoustics problem,1.0,true:2,true,1.0,yes:2,yes,1.0,no:1; yes:1,no,0.5,10k_to_100k:1; 1k_to_10k:1,10k_to_100k,0.5,Cote/mplate=5962,Cote/vibrobox=12328,Cote/mplate=5962,Cote/vibrobox=12328,Cote/mplate=142190,Cote/vibrobox=301700,Cote/mplate=142190,Cote/vibrobox=342828
Cunningham,4,small_group_lt5,0.125,3,1,0.774782,2.398157,2.398157,0,0,11107,38617,66127,11107,38617,66127,6639,1019753,1660579,6639,1019753,1660579,1.0,1,1.0,0.999260507857104,1,1.0,square:4,square,1.0,symmetric:3; unsymmetric:1,symmetric,0.75,real:4,real,1.0,exact_numerical_or_hermitian:3; pattern_symmetric_only:1,exact_numerical_or_hermitian,0.75,no:3; yes:1,no,0.75,acoustics problem:4,acoustics problem,1.0,false:1; true:3,true,0.75,yes:4,yes,1.0,no:2; yes:2,no,0.5,10k_to_100k:4,10k_to_100k,1.0,Cunningham/k3plates=11107; Cunningham/m3plates=11107,Cunningham/qa8fk=66127; Cunningham/qa8fm=66127,Cunningham/k3plates=11107; Cunningham/m3plates=11107,Cunningham/qa8fk=66127; Cunningham/qa8fm=66127,Cunningham/m3plates=6639,Cunningham/qa8fk=1660579; Cunningham/qa8fm=1660579,Cunningham/m3plates=6639,Cunningham/qa8fk=1660579; Cunningham/qa8fm=1660579
Cylshell,7,homogeneous,0.0,0,1,0.010572,0.104307,0.131452,7,60762,5357,5489,5489,5357,5489,5489,207123,217681,263351,207695,219521,281111,1.0,1,1.0,1.0,1,1.0,square:7,square,1.0,symmetric:7,symmetric,1.0,real:7,real,1.0,exact_numerical_or_hermitian:7,exact_numerical_or_hermitian,1.0,yes:7,yes,1.0,structural problem:7,structural problem,1.0,true:7,true,1.0,yes:7,yes,1.0,yes:7,yes,1.0,1k_to_10k:7,1k_to_10k,1.0,Cylshell/s3rmt3m3=5357,Cylshell/s1rmq4m1=5489; Cylshell/s2rmq4m1=5489; Cylshell/s3rmq4m1=5489; Cylshell/s1rmt3m1=5489; Cylshell/s2rmt3m1=5489; Cylshell/s3rmt3m1=5489,Cylshell/s3rmt3m3=5357,Cylshell/s1rmq4m1=5489; Cylshell/s2rmq4m1=5489; Cylshell/s3rmq4m1=5489; Cylshell/s1rmt3m1=5489; Cylshell/s2rmt3m1=5489; Cylshell/s3rmt3m1=5489,Cylshell/s3rmt3m3=207123,Cylshell/s2rmq4m1=263351,Cylshell/s3rmt3m3=207695,Cylshell/s1rmq4m1=281111; Cylshell/s2rmq4m1=281111; Cylshell/s3rmq4m1=281111
DIMACS10,151,mixed_some_attributes,0.154525,2,6,6.115756,5.891954,5.891954,0,0,39,196621,50912018,39,196621,50912018,340,1227102,265114400,340,1227102,265114400,1.0,1,1.0,1.0,1,1.0,square:151,square,1.0,symmetric:151,symmetric,1.0,binary:95; integer:56,binary,0.629139,exact_numerical_or_hermitian:151,exact_numerical_or_hermitian,1.0,no:151,no,1.0,random undirected graph:3; random unweighted graph:15; undirected graph:67; undirected multigraph:6; undirected random graph:10; undirected weighted graph:50,undirected graph,0.443709,missing:151,missing,1.0,no:151,no,1.0,no:151,no,1.0,100k_to_1m:65; 10k_to_100k:39; 1k_to_10k:7; ge_1m:39; lt_1k:1,100k_to_1m,0.430464,DIMACS10/chesapeake=39,DIMACS10/europe_osm=50912018,DIMACS10/chesapeake=39,DIMACS10/europe_osm=50912018,DIMACS10/chesapeake=340,DIMACS10/rgg_n_2_24_s0=265114400,DIMACS10/chesapeake=340,DIMACS10/rgg_n_2_24_s0=265114400
DNVS,15,mixed_some_attributes,0.155556,2,1,1.095929,1.110296,1.110296,7,19645488,18010,114919,224617,18010,114919,224617,960946,4444880,12387821,960946,8086034,12387821,1.0,1,1.0,1.0,1,1.0,square:15,square,1.0,symmetric:15,symmetric,1.0,binary:7; real:8,real,0.533333,exact_numerical_or_hermitian:15,exact_numerical_or_hermitian,1.0,no:7; yes:8,yes,0.533333,structural problem:15,structural problem,1.0,true:15,true,1.0,yes:15,yes,1.0,yes:15,yes,1.0,100k_to_1m:9; 10k_to_100k:6,100k_to_1m,0.6,DNVS/crplat2=18010,DNVS/halfb=224617,DNVS/crplat2=18010,DNVS/halfb=224617,DNVS/crplat2=960946,DNVS/halfb=12387821,DNVS/crplat2=960946,DNVS/halfb=12387821
DRIVCAV,26,mixed_some_attributes,0.025641,1,2,1.158096,1.367463,1.275541,26,57227,317,2597,4562,317,2597,4562,5923,76214.5,138040,7327,76367,138187,0.8037831733483908,0.9372682821986997,0.9531982436361479,0.0,0,0.6542773036781541,square:26,square,1.0,unsymmetric:26,unsymmetric,1.0,real:26,real,1.0,partially_pattern_symmetric:26,partially_pattern_symmetric,1.0,no:26,no,1.0,computational fluid dynamics problem sequence:4; subsequent computational fluid dynamics problem:22,subsequent computational fluid dynamics problem,0.846154,true:26,true,1.0,yes:26,yes,1.0,no:26,no,1.0,1k_to_10k:22; lt_1k:4,1k_to_10k,0.846154,DRIVCAV/cavity01=317; DRIVCAV/cavity02=317; DRIVCAV/cavity03=317; DRIVCAV/cavity04=317,DRIVCAV/cavity16=4562; DRIVCAV/cavity17=4562; DRIVCAV/cavity18=4562; DRIVCAV/cavity19=4562; DRIVCAV/cavity20=4562; DRIVCAV/cavity21=4562; DRIVCAV/cavity22=4562; DRIVCAV/cavity23=4562; DRIVCAV/cavity24=4562; DRIVCAV/cavity25=4562; DRIVCAV/cavity26=4562,DRIVCAV/cavity01=317; DRIVCAV/cavity02=317; DRIVCAV/cavity03=317; DRIVCAV/cavity04=317,DRIVCAV/cavity16=4562; DRIVCAV/cavity17=4562; DRIVCAV/cavity18=4562; DRIVCAV/cavity19=4562; DRIVCAV/cavity20=4562; DRIVCAV/cavity21=4562; DRIVCAV/cavity22=4562; DRIVCAV/cavity23=4562; DRIVCAV/cavity24=4562; DRIVCAV/cavity25=4562; DRIVCAV/cavity26=4562,DRIVCAV/cavity02=5923; DRIVCAV/cavity04=5923,DRIVCAV/cavity18=138040; DRIVCAV/cavity20=138040; DRIVCAV/cavity22=138040; DRIVCAV/cavity24=138040; DRIVCAV/cavity26=138040,DRIVCAV/cavity01=7327; DRIVCAV/cavity02=7327; DRIVCAV/cavity03=7327; DRIVCAV/cavity04=7327,DRIVCAV/cavity16=138187; DRIVCAV/cavity17=138187; DRIVCAV/cavity18=138187; DRIVCAV/cavity19=138187; DRIVCAV/cavity20=138187; DRIVCAV/cavity21=138187; DRIVCAV/cavity22=138187; DRIVCAV/cavity23=138187; DRIVCAV/cavity24=138187; DRIVCAV/cavity25=138187; DRIVCAV/cavity26=138187
Dattorro,3,small_group_lt5,0.0,0,1,0.240605,0.283915,0.283915,0,0,7362,10054,11077,150638,204304,262144,782087,1170516,1503732,782087,1170516,1503732,0.0,0,0.0,0.0,0,0.0,rectangular:3,rectangular,1.0,rectangular:3,rectangular,1.0,integer:3,integer,1.0,rectangular:3,rectangular,1.0,no:3,no,1.0,optimization problem:3,optimization problem,1.0,true:3,true,1.0,no:3,no,1.0,no:3,no,1.0,100k_to_1m:3,100k_to_1m,1.0,Dattorro/EternityII_A=7362,Dattorro/EternityII_E=11077,Dattorro/EternityII_A=150638,Dattorro/EternityII_E=262144,Dattorro/EternityII_A=782087,Dattorro/EternityII_E=1503732,Dattorro/EternityII_A=782087,Dattorro/EternityII_E=1503732
Davis,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,1319,1319,1319,9498,9498,9498,301899,301899,301899,301899,301899,301899,0.0,0,0.0,0.0,0,0.0,rectangular:1,rectangular,1.0,rectangular:1,rectangular,1.0,integer:1,integer,1.0,rectangular:1,rectangular,1.0,no:1,no,1.0,term/document graph:1,term/document graph,1.0,false:1,false,1.0,no:1,no,1.0,no:1,no,1.0,1k_to_10k:1,1k_to_10k,1.0,Davis/FX_March2010=1319,Davis/FX_March2010=1319,Davis/FX_March2010=9498,Davis/FX_March2010=9498,Davis/FX_March2010=301899,Davis/FX_March2010=301899,Davis/FX_March2010=301899,Davis/FX_March2010=301899
Dehghani,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,29282,29282,29282,29282,29282,29282,406084,406084,406084,406084,406084,406084,1.0,1,1.0,0.0,0,0.0,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,complex:1,complex,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,electromagnetics problem:1,electromagnetics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Dehghani/light_in_tissue=29282,Dehghani/light_in_tissue=29282,Dehghani/light_in_tissue=29282,Dehghani/light_in_tissue=29282,Dehghani/light_in_tissue=406084,Dehghani/light_in_tissue=406084,Dehghani/light_in_tissue=406084,Dehghani/light_in_tissue=406084
Dziekonski,5,mixed_some_attributes,0.133333,2,1,0.439834,0.613243,0.613243,0,0,420408,607232,1157456,420408,607232,1157456,21758924,32886208,89306020,21758924,32886208,89306020,1.0,1,1.0,0.8873627016737613,1,1.0,square:5,square,1.0,symmetric:5,symmetric,1.0,complex:2; real:3,real,0.6,exact_numerical_or_hermitian:3; pattern_symmetric_only:2,exact_numerical_or_hermitian,0.6,no:5,no,1.0,electromagnetics problem:5,electromagnetics problem,1.0,true:5,true,1.0,yes:5,yes,1.0,no:5,no,1.0,100k_to_1m:3; ge_1m:2,100k_to_1m,0.6,Dziekonski/dielFilterV3clx=420408,Dziekonski/dielFilterV2real=1157456,Dziekonski/dielFilterV3clx=420408,Dziekonski/dielFilterV2real=1157456,Dziekonski/gsm_106857=21758924,Dziekonski/dielFilterV3real=89306020,Dziekonski/gsm_106857=21758924,Dziekonski/dielFilterV3real=89306020
Embree,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,96307,96307,96307,96307,96307,96307,3599932,3599932,3599932,3599932,3599932,3599932,1.0,1,1.0,0.2845118352876235,0.2845118352876235,0.2845118352876235,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,computational fluid dynamics:1,computational fluid dynamics,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Embree/ifiss_mat=96307,Embree/ifiss_mat=96307,Embree/ifiss_mat=96307,Embree/ifiss_mat=96307,Embree/ifiss_mat=3599932,Embree/ifiss_mat=3599932,Embree/ifiss_mat=3599932,Embree/ifiss_mat=3599932
Engwirda,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,14214,14214,14214,14214,14214,14214,259688,259688,259688,259688,259688,259688,0.981668119637925,0.981668119637925,0.981668119637925,0.0,0,0.0,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,partially_pattern_symmetric:1,partially_pattern_symmetric,1.0,no:1,no,1.0,computational fluid dynamics problem:1,computational fluid dynamics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Engwirda/airfoil_2d=14214,Engwirda/airfoil_2d=14214,Engwirda/airfoil_2d=14214,Engwirda/airfoil_2d=14214,Engwirda/airfoil_2d=259688,Engwirda/airfoil_2d=259688,Engwirda/airfoil_2d=259688,Engwirda/airfoil_2d=259688
FEMLAB,9,categorically_heterogeneous,0.185185,3,4,2.367924,3.114849,3.114849,0,0,367,20414,85623,367,20414,85623,2417,874887,3148656,2417,874887,3148656,0.9999710105602732,1,1.0,0.0,0,0.6548223350253807,square:9,square,1.0,unsymmetric:9,unsymmetric,1.0,complex:1; real:8,real,0.888889,partially_pattern_symmetric:4; pattern_symmetric_only:5,pattern_symmetric_only,0.555556,no:9,no,1.0,2D/3D problem:1; computational fluid dynamics problem:4; electromagnetics problem:1; structural problem:3,computational fluid dynamics problem,0.444444,true:9,true,1.0,yes:9,yes,1.0,no:9,no,1.0,10k_to_100k:7; lt_1k:2,10k_to_100k,0.777778,FEMLAB/poisson2D=367,FEMLAB/poisson3Db=85623,FEMLAB/poisson2D=367,FEMLAB/poisson3Db=85623,FEMLAB/poisson2D=2417,FEMLAB/sme3Dc=3148656,FEMLAB/poisson2D=2417,FEMLAB/sme3Dc=3148656
FIDAP,35,categorically_heterogeneous,0.161905,3,1,2.863455,3.594582,3.594582,23,82207,27,2410,19716,27,2410,19716,279,54840,1096948,279,54840,1096948,1.0,1,1.0,0.4284006268883396,0.9877623772912288,1.0,square:35,square,1.0,symmetric:13; unsymmetric:22,unsymmetric,0.628571,real:35,real,1.0,exact_numerical_or_hermitian:13; pattern_symmetric_only:22,pattern_symmetric_only,0.628571,no:27; yes:8,no,0.771429,computational fluid dynamics problem:35,computational fluid dynamics problem,1.0,true:35,true,1.0,yes:35,yes,1.0,no:27; yes:8,no,0.771429,10k_to_100k:3; 1k_to_10k:25; lt_1k:7,1k_to_10k,0.714286,FIDAP/ex5=27,FIDAP/ex35=19716,FIDAP/ex5=27,FIDAP/ex35=19716,FIDAP/ex5=279,FIDAP/ex11=1096948,FIDAP/ex5=279,FIDAP/ex11=1096948
FlowIPM22,11,mixed_some_attributes,0.060606,1,1,2.858419,2.637558,2.637558,0,0,100000,338402,72180402,100000,338402,72180402,499696,1100592,216902404,499696,1100592,216902404,1.0,1,1.0,1.0,1,1.0,square:11,square,1.0,symmetric:11,symmetric,1.0,real:11,real,1.0,exact_numerical_or_hermitian:11,exact_numerical_or_hermitian,1.0,no:7; yes:4,no,0.636364,undirected weighted graph:11,undirected weighted graph,1.0,missing:11,missing,1.0,no:11,no,1.0,yes:11,yes,1.0,100k_to_1m:6; ge_1m:5,100k_to_1m,0.545455,FlowIPM22/uni_chimera_i1=100000; FlowIPM22/uni_chimera_i2=100000; FlowIPM22/uni_chimera_i3=100000; FlowIPM22/uni_chimera_i4=100000; FlowIPM22/uni_chimera_i5=100000,FlowIPM22/Spielman_k600=72180402,FlowIPM22/uni_chimera_i1=100000; FlowIPM22/uni_chimera_i2=100000; FlowIPM22/uni_chimera_i3=100000; FlowIPM22/uni_chimera_i4=100000; FlowIPM22/uni_chimera_i5=100000,FlowIPM22/Spielman_k600=72180402,FlowIPM22/uni_chimera_i3=499696,FlowIPM22/Spielman_k600=216902404,FlowIPM22/uni_chimera_i3=499696,FlowIPM22/Spielman_k600=216902404
Fluorem,5,type_homogeneous_size_diverse,0.0,0,1,3.349055,4.38127,4.38127,0,0,903,161070,2017169,903,161070,2017169,11766,8185136,283073458,11766,8185136,283073458,0.8446615474952066,0.9261667922354103,0.9614287029365737,0.0,9.457852263618717e-06,0.0007082780488857875,square:5,square,1.0,unsymmetric:5,unsymmetric,1.0,real:5,real,1.0,partially_pattern_symmetric:5,partially_pattern_symmetric,1.0,no:5,no,1.0,computational fluid dynamics problem:5,computational fluid dynamics problem,1.0,true:5,true,1.0,yes:5,yes,1.0,no:5,no,1.0,100k_to_1m:2; 1k_to_10k:1; ge_1m:1; lt_1k:1,100k_to_1m,0.4,Fluorem/DK01R=903,Fluorem/HV15R=2017169,Fluorem/DK01R=903,Fluorem/HV15R=2017169,Fluorem/DK01R=11766,Fluorem/HV15R=283073458,Fluorem/DK01R=11766,Fluorem/HV15R=283073458
FreeFieldTechnologies,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,2492,169410,169410,169410,169410,169410,169410,5033796,5033796,5033796,5036288,5036288,5036288,1.0,1,1.0,0.820796293715178,0.820796293715178,0.820796293715178,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,complex:1,complex,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,acoustics problem:1,acoustics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,100k_to_1m:1,100k_to_1m,1.0,FreeFieldTechnologies/mono_500Hz=169410,FreeFieldTechnologies/mono_500Hz=169410,FreeFieldTechnologies/mono_500Hz=169410,FreeFieldTechnologies/mono_500Hz=169410,FreeFieldTechnologies/mono_500Hz=5033796,FreeFieldTechnologies/mono_500Hz=5033796,FreeFieldTechnologies/mono_500Hz=5036288,FreeFieldTechnologies/mono_500Hz=5036288
Freescale,8,mixed_some_attributes,0.020833,1,2,1.492416,1.791805,1.791614,7,16392927,178866,2993180.5,5558326,178866,2993180.5,5558326,961368,14589322,59524291,961790,19057270,59524291,0.9058013004223939,0.9924913468404921,0.9999998517635799,0.005614865134161801,0.4107363247105668,0.8220579996645768,square:8,square,1.0,unsymmetric:8,unsymmetric,1.0,real:8,real,1.0,partially_pattern_symmetric:8,partially_pattern_symmetric,1.0,no:8,no,1.0,circuit simulation matrix:1; circuit simulation problem:7,circuit simulation problem,0.875,true:8,true,1.0,no:8,no,1.0,no:8,no,1.0,100k_to_1m:2; ge_1m:6,ge_1m,0.75,Freescale/transient=178866,Freescale/circuit5M=5558326,Freescale/transient=178866,Freescale/circuit5M=5558326,Freescale/transient=961368,Freescale/circuit5M=59524291,Freescale/transient=961790,Freescale/circuit5M=59524291
GAP,5,categorically_heterogeneous,0.2,3,2,0.748552,1.871719,1.871719,0,0,23947347,61578415,134217728,23947347,61578415,134217728,57708624,1930292948,4294966740,57708624,1930292948,4294966740,0.1245713694644861,1,1.0,0.0004892386935249789,1,1.0,square:5,square,1.0,symmetric:3; unsymmetric:2,symmetric,0.6,integer:5,integer,1.0,exact_numerical_or_hermitian:3; partially_pattern_symmetric:2,exact_numerical_or_hermitian,0.6,no:5,no,1.0,directed weighted graph:3; random undirected weighted graph:2,directed weighted graph,0.6,missing:5,missing,1.0,no:5,no,1.0,no:5,no,1.0,ge_1m:5,ge_1m,1.0,GAP/GAP-road=23947347,GAP/GAP-urand=134217728,GAP/GAP-road=23947347,GAP/GAP-urand=134217728,GAP/GAP-road=57708624,GAP/GAP-urand=4294966740,GAP/GAP-road=57708624,GAP/GAP-urand=4294966740
GHS_indef,60,mixed_some_attributes,0.097222,1,8,2.19127,3.098399,3.098399,13,46212,3002,46950,466316,3002,46950,466316,9000,426705,11288630,9000,426705,11288630,1.0,1,1.0,1.0,1,1.0,square:60,square,1.0,symmetric:60,symmetric,1.0,integer:3; real:57,real,0.95,exact_numerical_or_hermitian:60,exact_numerical_or_hermitian,1.0,no:59; yes:1,no,0.983333,2D/3D problem:16; computational fluid dynamics problem:4; duplicate 2D/3D problem:1; materials problem:4; optimization problem:29; statistical/mathematical problem:2; structural problem:3; subsequent optimization problem:1,optimization problem,0.483333,false:7; true:53,true,0.883333,no:32; yes:28,no,0.533333,no:55; yes:5,no,0.916667,100k_to_1m:8; 10k_to_100k:50; 1k_to_10k:2,10k_to_100k,0.833333,GHS_indef/laser=3002,GHS_indef/boyd2=466316,GHS_indef/laser=3002,GHS_indef/boyd2=466316,GHS_indef/laser=9000,GHS_indef/bmw3_2=11288630,GHS_indef/laser=9000,GHS_indef/bmw3_2=11288630
GHS_psdef,32,categorically_heterogeneous,0.177083,3,7,1.789829,2.883361,2.883361,9,6842388,15449,51402,952203,15449,51402,952203,101576,1345303.5,77651847,101576,1345303.5,77651847,1.0,1,1.0,1.0,1,1.0,square:32,square,1.0,symmetric:32,symmetric,1.0,binary:10; real:22,real,0.6875,exact_numerical_or_hermitian:32,exact_numerical_or_hermitian,1.0,no:10; yes:22,yes,0.6875,computational fluid dynamics problem:2; duplicate computational fluid dynamics problem:1; duplicate optimization problem:1; duplicate structural problem:1; optimization problem:7; random 2D/3D problem:2; structural problem:18,structural problem,0.5625,true:32,true,1.0,no:8; yes:24,yes,0.75,yes:32,yes,1.0,100k_to_1m:8; 10k_to_100k:24,10k_to_100k,0.75,GHS_psdef/opt1=15449,GHS_psdef/ldoor=952203,GHS_psdef/opt1=15449,GHS_psdef/ldoor=952203,GHS_psdef/ford1=101576,GHS_psdef/audikw_1=77651847,GHS_psdef/ford1=101576,GHS_psdef/audikw_1=77651847
Gaertner,3,small_group_lt5,0.166667,3,2,0.088493,0.110964,0.110964,0,0,10774,11738,13209,10774,11738,13209,70842,79566,91465,70842,79566,91465,1.0,1,1.0,0.999970513652179,0.999974442854222,1.0,square:3,square,1.0,symmetric:1; unsymmetric:2,unsymmetric,0.666667,integer:3,integer,1.0,exact_numerical_or_hermitian:1; pattern_symmetric_only:2,pattern_symmetric_only,0.666667,no:3,no,1.0,directed weighted graph:2; undirected weighted graph:1,directed weighted graph,0.666667,missing:3,missing,1.0,no:3,no,1.0,no:2; yes:1,no,0.666667,10k_to_100k:3,10k_to_100k,1.0,Gaertner/nopoly=10774,Gaertner/big=13209,Gaertner/nopoly=10774,Gaertner/big=13209,Gaertner/nopoly=70842,Gaertner/big=91465,Gaertner/nopoly=70842,Gaertner/big=91465
Garon,2,small_group_lt5,0.0,0,1,0.629715,0.643981,0.642706,2,21576,3175,8355,13535,3175,8355,13535,84723,228979,373235,88927,239767,390607,1.0,1,1.0,0.6720847366622736,0.6723833591974528,0.6726819817326322,square:2,square,1.0,unsymmetric:2,unsymmetric,1.0,real:2,real,1.0,pattern_symmetric_only:2,pattern_symmetric_only,1.0,no:2,no,1.0,computational fluid dynamics problem:2,computational fluid dynamics problem,1.0,true:2,true,1.0,yes:2,yes,1.0,no:2,no,1.0,10k_to_100k:1; 1k_to_10k:1,10k_to_100k,0.5,Garon/garon1=3175,Garon/garon2=13535,Garon/garon1=3175,Garon/garon2=13535,Garon/garon1=84723,Garon/garon2=373235,Garon/garon1=88927,Garon/garon2=390607
GenBank,5,homogeneous,0.0,0,1,0.589727,0.598844,0.598844,0,0,55042369,139353211,214005017,55042369,139353211,214005017,117217600,297829984,465410904,117217600,297829984,465410904,1.0,1,1.0,1.0,1,1.0,square:5,square,1.0,symmetric:5,symmetric,1.0,binary:5,binary,1.0,exact_numerical_or_hermitian:5,exact_numerical_or_hermitian,1.0,no:5,no,1.0,undirected graph:5,undirected graph,1.0,missing:5,missing,1.0,no:5,no,1.0,no:5,no,1.0,ge_1m:5,ge_1m,1.0,GenBank/kmer_V2a=55042369,GenBank/kmer_V1r=214005017,GenBank/kmer_V2a=55042369,GenBank/kmer_V1r=214005017,GenBank/kmer_V2a=117217600,GenBank/kmer_V1r=465410904,GenBank/kmer_V2a=117217600,GenBank/kmer_V1r=465410904
